Header,internal_code
tr|O51865|O51865_ECOLX,kpsT_1
sp|P23888|KPST1_ECOLX,kpsT_2
fig|1977087.6768.peg.397,kpsT_303
fig|2818435.3.peg.1121,kpsT_304
fig|1977087.6942.peg.3553,kpsT_305
fig|2562705.212.peg.2749,kpsT_306
fig|3058050.29.peg.5408,kpsT_307
fig|195.3736.peg.639,kpsT_308
fig|3087176.3.peg.2051,kpsT_309
fig|654.972.peg.712,kpsT_310
fig|254839.5.peg.1698,kpsT_311
fig|2027912.3.peg.1088,kpsT_312
fig|2940539.3.peg.3360,kpsT_313
fig|1236502.8.peg.767,kpsT_314
fig|562.100017.peg.1811,kpsT_315
fig|573152.11.peg.2309,kpsT_316
fig|1392394.21.peg.1978,kpsT_317
fig|1891238.1250.peg.527,kpsT_318
fig|1904640.3.peg.2974,kpsT_319
fig|991905.3.peg.2609,kpsT_320
fig|1486859.3.peg.3698,kpsT_321
fig|2013655.3.peg.2523,kpsT_322
fig|1604354.3.peg.1049,kpsT_323
fig|93684.8.peg.605,kpsT_324
fig|413501.14.peg.2841,kpsT_325
fig|428990.3.peg.4566,kpsT_326
fig|1610491.6.peg.1885,kpsT_327
fig|2014876.3.peg.3792,kpsT_328
fig|266.35.peg.3227,kpsT_329
fig|198618.15.peg.261,kpsT_330
fig|1913989.652.peg.3173,kpsT_331
fig|562.45722.peg.541,kpsT_332
fig|2048003.3.peg.410,kpsT_333
fig|2060067.3.peg.1107,kpsT_334
fig|197.6645.peg.2035,kpsT_335
fig|538947.7.peg.1957,kpsT_336
fig|2303538.3.peg.913,kpsT_337
fig|1869227.1247.peg.3918,kpsT_338
fig|2841589.3.peg.3451,kpsT_339
fig|1904441.519.peg.3235,kpsT_340
fig|1928858.3.peg.1127,kpsT_341
fig|2588875.16.peg.1476,kpsT_342
fig|1385592.3.peg.2045,kpsT_343
fig|188056.34.peg.2473,kpsT_344
fig|197.13038.peg.70,kpsT_345
fig|244328.4977.peg.115,kpsT_346
fig|2995638.3.peg.3290,kpsT_347
fig|2052142.443.peg.4250,kpsT_348
fig|1909293.246.peg.3457,kpsT_349
fig|1909292.46.peg.491,kpsT_350
fig|3092120.3.peg.3727,kpsT_351
fig|1666913.5.peg.2378,kpsT_352
fig|2994643.5.peg.319,kpsT_353
fig|3105867.3.peg.2205,kpsT_354
fig|95486.975.peg.770,kpsT_355
fig|1882437.36.peg.434,kpsT_356
fig|1904441.650.peg.736,kpsT_357
fig|2478975.3.peg.2261,kpsT_358
fig|303.1050.peg.4638,kpsT_359
fig|1335048.26.peg.297,kpsT_360
fig|430797.3.peg.1377,kpsT_361
fig|3241294.3.peg.4010,kpsT_362
fig|562.86836.peg.332,kpsT_363
fig|195913.26.peg.61,kpsT_364
fig|562.140140.peg.5175,kpsT_365
fig|562.142795.peg.892,kpsT_366
fig|1874826.271.peg.525,kpsT_367
fig|1929291.111.peg.89,kpsT_368
fig|1948890.222.peg.204,kpsT_369
fig|96232.10.peg.2864,kpsT_370
fig|1686106.27.peg.1823,kpsT_371
fig|91750.3510.peg.480,kpsT_372
fig|208548.48.peg.735,kpsT_373
fig|292277.152.peg.185,kpsT_374
fig|195.481.peg.1146,kpsT_375
fig|2044465.3.peg.246,kpsT_376
fig|1051985.3.peg.1217,kpsT_377
fig|197.15151.peg.703,kpsT_378
fig|1813816.3.peg.3318,kpsT_379
fig|1952814.3.peg.2022,kpsT_380
fig|173971.3.peg.3032,kpsT_381
fig|562.69516.peg.1301,kpsT_382
fig|413497.29.peg.3062,kpsT_383
fig|2703890.3.peg.5167,kpsT_384
fig|399176.3.peg.2556,kpsT_385
fig|173973.4.peg.1139,kpsT_386
fig|51048.17.peg.1421,kpsT_387
fig|121428.8.peg.3924,kpsT_388
fig|488732.25.peg.896,kpsT_389
fig|2661553.3.peg.2229,kpsT_390
fig|2053492.18.peg.879,kpsT_391
fig|498.20.peg.392,kpsT_392
fig|2033435.3.peg.283,kpsT_393
fig|562.21428.peg.34,kpsT_394
fig|728.131.peg.24,kpsT_395
fig|380.5.peg.5854,kpsT_396
fig|1872644.16.peg.113,kpsT_397
fig|1796606.9.peg.4619,kpsT_398
fig|1872644.26.peg.1448,kpsT_399
fig|2268179.234.peg.834,kpsT_400
fig|3029979.6.peg.939,kpsT_401
fig|562.135392.peg.4402,kpsT_402
fig|213418.92.peg.1913,kpsT_403
fig|654.1020.peg.2004,kpsT_404
fig|1929293.24.peg.3289,kpsT_405
fig|1871086.250.peg.3026,kpsT_406
fig|1949085.3.peg.2972,kpsT_407
fig|562.30438.peg.957,kpsT_408
fig|95486.521.peg.6119,kpsT_409
fig|1768804.4.peg.2726,kpsT_410
fig|2738448.3.peg.2339,kpsT_411
fig|419257.3.peg.2441,kpsT_412
fig|1899355.38.peg.2770,kpsT_413
fig|368503.33.peg.2318,kpsT_414
fig|261164.19.peg.536,kpsT_415
fig|80852.17.peg.198,kpsT_416
fig|2493082.3.peg.4096,kpsT_417
fig|458836.7.peg.6112,kpsT_418
fig|2692236.3.peg.2470,kpsT_419
fig|1385763.3.peg.3050,kpsT_420
fig|1904441.328.peg.2957,kpsT_421
fig|1903261.3.peg.2427,kpsT_422
fig|1825976.3.peg.607,kpsT_423
fig|217203.13.peg.2662,kpsT_424
fig|2782607.3.peg.3616,kpsT_425
fig|488732.7.peg.1945,kpsT_426
fig|589873.3.peg.921,kpsT_427
fig|33996.48.peg.1722,kpsT_428
fig|1970592.3.peg.3322,kpsT_429
fig|631454.5.peg.3721,kpsT_430
fig|156588.430.peg.1210,kpsT_431
fig|2821111.3.peg.3401,kpsT_432
fig|570446.3.peg.1784,kpsT_433
fig|1585697.3.peg.1122,kpsT_434
fig|2014784.15.peg.527,kpsT_435
fig|2268179.183.peg.1825,kpsT_436
fig|2053492.78.peg.2125,kpsT_437
fig|2731246.3.peg.1607,kpsT_438
fig|2211662.13.peg.892,kpsT_439
fig|2161673.5.peg.1990,kpsT_440
fig|1869227.3366.peg.3005,kpsT_441
fig|157276.297.peg.947,kpsT_442
fig|50421.205.peg.360,kpsT_443
fig|2758724.3.peg.2263,kpsT_444
fig|1909294.880.peg.3155,kpsT_445
fig|1977087.2110.peg.345,kpsT_446
fig|164546.61.peg.1231,kpsT_447
fig|2790956.3.peg.259,kpsT_448
fig|1879010.10277.peg.1779,kpsT_449
fig|1977087.3409.peg.1208,kpsT_450
fig|1541170.3.peg.2761,kpsT_451
fig|2692265.4.peg.4585,kpsT_452
fig|208549.45.peg.4803,kpsT_453
fig|225971.18.peg.2344,kpsT_454
fig|2838547.5.peg.25,kpsT_455
fig|195913.17.peg.2455,kpsT_456
fig|1977087.6522.peg.1519,kpsT_457
fig|358.447.peg.3057,kpsT_458
fig|293.97.peg.1428,kpsT_459
fig|1486281.55.peg.47,kpsT_460
fig|2052161.120.peg.713,kpsT_461
fig|1002546.6.peg.30,kpsT_462
fig|3081199.3.peg.1800,kpsT_463
fig|562.143476.peg.3583,kpsT_464
fig|562.145637.peg.1110,kpsT_465
fig|2212699.9.peg.3542,kpsT_466
fig|1913989.5473.peg.3143,kpsT_467
fig|1920299.5.peg.2400,kpsT_468
fig|1307939.3.peg.1909,kpsT_469
fig|1872485.20.peg.36,kpsT_470
fig|1869339.342.peg.2496,kpsT_471
fig|1898103.566.peg.1778,kpsT_472
fig|196024.331.peg.608,kpsT_473
fig|715.185.peg.1606,kpsT_474
fig|2268199.320.peg.4888,kpsT_475
fig|29570.3.peg.2457,kpsT_476
fig|2774296.6.peg.797,kpsT_477
fig|2697034.3.peg.1623,kpsT_478
fig|2026735.798.peg.727,kpsT_479
fig|1121941.3.peg.3055,kpsT_480
fig|351052.4.peg.812,kpsT_481
fig|2841567.3.peg.3313,kpsT_482
fig|1898103.43.peg.4272,kpsT_483
fig|2268141.3.peg.423,kpsT_484
fig|169975.179.peg.593,kpsT_485
fig|157278.28.peg.3113,kpsT_486
fig|3039806.4.peg.3835,kpsT_487
fig|316087.35.peg.2496,kpsT_488
fig|1659839.3.peg.847,kpsT_489
fig|2555642.3.peg.2266,kpsT_490
fig|2706776.3.peg.3055,kpsT_491
fig|2499834.3.peg.3290,kpsT_492
fig|404881.3.peg.2363,kpsT_493
fig|186761.3.peg.801,kpsT_494
fig|1945861.3.peg.3038,kpsT_495
fig|327160.31.peg.1501,kpsT_496
fig|1759421.3.peg.3812,kpsT_497
fig|1889913.3.peg.1290,kpsT_498
fig|2751178.4.peg.24,kpsT_499
fig|1017181.4.peg.2274,kpsT_500
fig|2498451.3.peg.1538,kpsT_501
fig|1909294.373.peg.238,kpsT_502
fig|2303749.3.peg.879,kpsT_503
fig|1949087.3.peg.2412,kpsT_504
fig|517719.3.peg.45,kpsT_505
fig|13690.10.peg.2220,kpsT_506
fig|1909294.220.peg.3260,kpsT_507
fig|562.62978.peg.1845,kpsT_508
fig|1350776.3.peg.1381,kpsT_509
fig|562.50266.peg.3301,kpsT_510
fig|179879.42.peg.6332,kpsT_511
fig|197.16205.peg.114,kpsT_512
fig|1891229.298.peg.1782,kpsT_513
fig|936474.3.peg.4962,kpsT_514
fig|318683.17.peg.3217,kpsT_515
fig|1938605.3.peg.797,kpsT_516
fig|53408.6.peg.5212,kpsT_517
fig|213418.89.peg.2105,kpsT_518
fig|1869190.48.peg.2945,kpsT_519
fig|876269.3.peg.2743,kpsT_520
fig|2562282.3.peg.3,kpsT_521
fig|2135726.3.peg.211,kpsT_522
fig|1872629.32.peg.2183,kpsT_523
fig|261164.3.peg.453,kpsT_524
fig|28141.178.peg.2316,kpsT_525
fig|28068.13.peg.2394,kpsT_526
fig|28108.48.peg.970,kpsT_527
fig|2907202.7.peg.157,kpsT_528
fig|2021969.3.peg.6,kpsT_529
fig|1247733.4.peg.1626,kpsT_530
fig|654.188.peg.4036,kpsT_531
fig|1798805.3.peg.3193,kpsT_532
fig|750.11.peg.1541,kpsT_533
fig|747.1927.peg.2064,kpsT_534
fig|1513592.3.peg.1423,kpsT_535
fig|887288.3.peg.144,kpsT_536
fig|1978231.1281.peg.1167,kpsT_537
fig|195.3237.peg.1279,kpsT_538
fig|1592790.10.peg.3109,kpsT_539
fig|565.26.peg.1822,kpsT_540
fig|332614.42.peg.489,kpsT_541
fig|2995143.3.peg.494,kpsT_542
fig|157276.273.peg.4983,kpsT_543
fig|157276.254.peg.4136,kpsT_544
fig|197.22263.peg.700,kpsT_545
fig|368503.31.peg.392,kpsT_546
fig|2028574.4.peg.730,kpsT_547
fig|2899119.7.peg.1146,kpsT_548
fig|221822.85.peg.4149,kpsT_549
fig|1913988.1747.peg.2066,kpsT_550
fig|1977087.3574.peg.1050,kpsT_551
fig|1977087.3148.peg.2189,kpsT_552
fig|562.98605.peg.2030,kpsT_553
fig|1904441.1199.peg.715,kpsT_554
fig|1977087.6363.peg.846,kpsT_555
fig|1977087.6490.peg.2624,kpsT_556
fig|179113.29.peg.573,kpsT_557
