Header,internal_code
fig|162156.772.peg.1466,kpsD_395
fig|1055104.36.peg.1303,kpsD_396
fig|286133.404.peg.1628,kpsD_397
fig|1072516.44.peg.466,kpsD_398
fig|195.420.peg.332,kpsD_399
fig|59823.2322.peg.1777,kpsD_400
fig|194843.3443.peg.200,kpsD_401
fig|2725494.7.peg.82,kpsD_402
fig|201.209.peg.935,kpsD_403
fig|1977087.7393.peg.3058,kpsD_404
fig|1813019.56.peg.1015,kpsD_405
fig|197.20945.peg.811,kpsD_406
fig|162156.1264.peg.1585,kpsD_407
fig|1114874.19.peg.942,kpsD_408
fig|83655.352.peg.2856,kpsD_409
fig|626223.3.peg.1865,kpsD_410
fig|195.354.peg.624,kpsD_411
fig|33959.1260.peg.2184,kpsD_412
fig|562.143185.peg.3669,kpsD_413
fig|820.7110.peg.494,kpsD_414
fig|2021391.1473.peg.887,kpsD_415
fig|477.12.peg.2757,kpsD_416
fig|28111.626.peg.1327,kpsD_417
fig|664683.56.peg.3971,kpsD_418
fig|2838790.49.peg.924,kpsD_419
fig|86473.1914.peg.699,kpsD_420
fig|328812.429.peg.705,kpsD_421
fig|2773926.175.peg.2689,kpsD_422
fig|28141.86.peg.412,kpsD_423
fig|1072516.78.peg.68,kpsD_424
fig|2601107.3.peg.90,kpsD_425
fig|194843.535.peg.945,kpsD_426
fig|370804.524.peg.703,kpsD_427
fig|59823.1275.peg.1973,kpsD_428
fig|2590551.3.peg.1320,kpsD_429
fig|537.9.peg.2024,kpsD_430
fig|2520506.3.peg.6997,kpsD_431
fig|2594428.3.peg.2978,kpsD_432
fig|2048003.3.peg.412,kpsD_433
fig|197.14809.peg.1685,kpsD_434
fig|195.2414.peg.665,kpsD_435
fig|2059724.3.peg.779,kpsD_436
fig|1965618.3.peg.1775,kpsD_437
fig|2500157.3.peg.1597,kpsD_438
fig|45248.9.peg.1732,kpsD_439
fig|59823.800.peg.1608,kpsD_440
fig|2692318.3.peg.2225,kpsD_441
fig|702438.4.peg.1186,kpsD_442
fig|195.444.peg.1271,kpsD_443
fig|1116007.3.peg.331,kpsD_444
fig|77095.6.peg.121,kpsD_445
fig|2786960.3.peg.773,kpsD_446
fig|195.1689.peg.685,kpsD_447
fig|2739062.3.peg.3637,kpsD_448
fig|1448139.3.peg.2060,kpsD_449
fig|2058314.3.peg.2402,kpsD_450
fig|1388751.3.peg.318,kpsD_451
fig|885.94.peg.2164,kpsD_452
fig|59823.1010.peg.968,kpsD_453
fig|2689616.39.peg.589,kpsD_454
fig|163362.30.peg.1758,kpsD_455
fig|2665161.3.peg.1159,kpsD_456
fig|239.108.peg.3643,kpsD_457
fig|370804.1660.peg.155,kpsD_458
fig|923.5.peg.2181,kpsD_459
fig|159272.1420.peg.1258,kpsD_460
fig|1127673.3.peg.640,kpsD_461
fig|885.155.peg.1578,kpsD_462
fig|562.108497.peg.3051,kpsD_463
fig|2911610.3.peg.1119,kpsD_464
fig|159272.1922.peg.914,kpsD_465
fig|59823.1842.peg.657,kpsD_466
fig|197.11587.peg.869,kpsD_467
fig|90370.5341.peg.2968,kpsD_468
fig|59823.1871.peg.1423,kpsD_469
