Header,internal_code
fig|2911606.3.peg.763,lic3X_388
fig|28080.136.peg.845,lic3X_389
fig|727.3408.peg.252,lic3X_390
fig|727.2992.peg.695,lic3X_391
fig|727.3679.peg.1302,lic3X_392
fig|197.17938.peg.1167,lic3X_393
fig|197.15201.peg.186,lic3X_394
fig|727.1743.peg.386,lic3X_395
fig|197.20764.peg.1100,lic3X_396
fig|210.7806.peg.545,lic3X_397
fig|727.1654.peg.697,lic3X_398
fig|727.547.peg.709,lic3X_399
fig|197.4898.peg.1112,lic3X_400
fig|727.1643.peg.481,lic3X_401
fig|727.1290.peg.1461,lic3X_402
fig|115545.14.peg.1151,lic3X_403
fig|197.15869.peg.474,lic3X_404
fig|727.2292.peg.765,lic3X_405
fig|197.15986.peg.1467,lic3X_406
fig|2905875.6.peg.535,lic3X_407
fig|727.3354.peg.1333,lic3X_408
fig|2497989.77.peg.1757,lic3X_409
fig|212.56.peg.1127,lic3X_410
fig|175537.59.peg.1044,lic3X_411
fig|197.25550.peg.135,lic3X_412
fig|727.1355.peg.79,lic3X_413
fig|197.26747.peg.726,lic3X_414
fig|727.1735.peg.377,lic3X_415
fig|218.39.peg.1472,lic3X_416
fig|1813019.13.peg.529,lic3X_417
fig|727.1248.peg.1920,lic3X_418
fig|727.1515.peg.301,lic3X_419
fig|727.1466.peg.2043,lic3X_420
fig|727.1316.peg.496,lic3X_421
fig|2028575.5.peg.1485,lic3X_422
fig|37372.47.peg.680,lic3X_423
fig|197.25399.peg.189,lic3X_424
fig|747.736.peg.751,lic3X_425
fig|727.1639.peg.198,lic3X_426
fig|727.1777.peg.157,lic3X_427
fig|262727.7.peg.230,lic3X_428
fig|727.1545.peg.1482,lic3X_429
fig|1548018.7.peg.2536,lic3X_430
fig|727.1766.peg.1183,lic3X_431
fig|728.756.peg.567,lic3X_432
fig|175537.196.peg.732,lic3X_433
fig|375063.4.peg.172,lic3X_434
fig|197.21957.peg.394,lic3X_435
fig|727.1648.peg.1696,lic3X_436
fig|747.1859.peg.2168,lic3X_437
fig|210.8819.peg.714,lic3X_438
fig|727.2987.peg.681,lic3X_439
fig|727.1495.peg.879,lic3X_440
fig|727.1233.peg.585,lic3X_441
fig|197.4993.peg.557,lic3X_442
fig|1813019.54.peg.1376,lic3X_443
fig|138563.19.peg.1711,lic3X_444
fig|727.1283.peg.158,lic3X_445
fig|2800583.3.peg.1762,lic3X_446
fig|727.1357.peg.429,lic3X_447
fig|727.1449.peg.1654,lic3X_448
fig|727.1656.peg.569,lic3X_449
fig|727.4082.peg.717,lic3X_450
fig|197.25122.peg.1446,lic3X_451
fig|28080.148.peg.1182,lic3X_452
fig|197.25432.peg.371,lic3X_453
fig|197.23870.peg.304,lic3X_454
fig|2974565.13.peg.424,lic3X_455
fig|210.7801.peg.868,lic3X_456
fig|727.2180.peg.520,lic3X_457
fig|1031733.3.peg.908,lic3X_458
fig|727.1503.peg.1313,lic3X_459
fig|727.589.peg.379,lic3X_460
fig|727.1782.peg.783,lic3X_461
fig|214.44.peg.841,lic3X_462
fig|197.14815.peg.474,lic3X_463
fig|727.1517.peg.1586,lic3X_464
fig|197.20757.peg.1434,lic3X_465
fig|28080.92.peg.1508,lic3X_466
fig|197.23675.peg.301,lic3X_467
fig|197.22204.peg.951,lic3X_468
fig|747.3002.peg.1161,lic3X_469
fig|375927.3.peg.992,lic3X_470
fig|195.734.peg.127,lic3X_471
fig|727.302.peg.625,lic3X_472
fig|727.1806.peg.1484,lic3X_473
fig|1163741.3.peg.867,lic3X_474
fig|197.17093.peg.1180,lic3X_475
fig|195.358.peg.1808,lic3X_476
fig|727.1699.peg.901,lic3X_477
fig|214.49.peg.433,lic3X_478
fig|1813019.35.peg.539,lic3X_479
fig|197.20729.peg.1594,lic3X_480
